name,city,district,latitude,longitude,appointment_website,contact_number
AIIMS New Delhi,New Delhi,Central Delhi,28.5679,77.2105,https://aiims.edu.com,011-26588500
Fortis Hospital,Vasant Kunj,South Delhi,28.5286,77.1504,https://fortishealthcare.com,011-42252000
Apollo Hospital,Indraprastha,East Delhi,28.6192,77.2845,https://apollohospitals.com,011-71791090
Max Super Speciality Hospital,Saket,South Delhi,28.5245,77.207,https://maxhealthcare.in,011-26515050
Medanta - The Medicity,Gurgaon,South Delhi,28.4476,77.0405,https://medanta.org,0124-4141414
Sir Ganga Ram Hospital,Rajendra Nagar,Central Delhi,28.6415,77.1879,https://sgrh.com,011-25750000
BLK Super Speciality Hospital,Pusa Road,Central Delhi,28.6413,77.1858,https://blkhospital.com,011-30403040
Moolchand Hospital,Lajpat Nagar,South Delhi,28.5683,77.24,https://moolchandhealthcare.com,011-42000000
Indian Spinal Injuries Centre,Vasant Kunj,South Delhi,28.52,77.1446,https://isiconline.org,011-42255333
Primus Super Speciality Hospital,Chanakyapuri,South West Delhi,28.5977,77.1783,https://primushospital.com,011-66206620
Cygnus Orthocare Hospital,Safdarjung Enclave,South Delhi,28.5582,77.1904,https://cygnusortho.com,011-44118888
Sri Balaji Action Medical Institute,Paschim Vihar,West Delhi,28.6741,77.0733,https://actionhospital.com,011-42888888
Rockland Hospital,Qutab Institutional Area,South Delhi,28.5323,77.1646,https://rocklandhospitals.com,011-49667777
Holy Family Hospital,Okhla,South Delhi,28.5638,77.2664,https://holyfamilyhospital.in,011-26332800
Batra Hospital,Tughlakabad,South Delhi,28.5123,77.2712,https://batrahospitaldelhi.org,011-29958747
Metro Hospital and Heart Institute,Preet Vihar,East Delhi,28.6403,77.2955,https://metrohospitals.com,011-49285555
Venkateshwar Hospital,Dwarka,South West Delhi,28.5765,77.0467,https://venkateshwarhospitals.com,011-48555555
Shree Agarsen Hospital,Punjabi Bagh,West Delhi,28.6675,77.1355,https://shreeagarsenhospital.com,011-45005500
Max Smart Super Speciality Hospital,Saket,South Delhi,28.5242,77.2108,https://maxsmarthospital.com,011-71791000
Indraprastha Apollo Hospitals,Sarita Vihar,South Delhi,28.5313,77.2851,https://indraprasthaapollo.com,011-29871090
Lok Nayak Hospital,Delhi Gate,Central Delhi,28.6404,77.238,https://lok-nayak-hospital.in,011-23236700
Columbia Asia Hospital,Palam Vihar,South West Delhi,28.5427,77.0991,https://columbiaasia.com,011-39898969
B.L. Kapoor Super Speciality Hospital,Pusa Road,Central Delhi,28.6432,77.1868,https://blkhospital.com,011-30403040
Delhi Heart and Lung Institute,Panchkuian Road,Central Delhi,28.6407,77.205,https://dhli.in,011-42999999
St. Stephen's Hospital,Tis Hazari,Central Delhi,28.6745,77.2165,https://ststephenshospital.org,011-23966021
Max Hospital,Patparganj,East Delhi,28.6163,77.2892,https://maxhealthcare.in,011-43033333
Maharaja Agrasen Hospital,Punjabi Bagh,West Delhi,28.6656,77.1344,https://mahdelhi.org,011-48882000
Aashlok Hospital,Safdarjung Enclave,South Delhi,28.5664,77.1901,https://aashlok.com,011-40666666
ESIC Hospital,Okhla,South Delhi,28.5578,77.2695,https://esic.nic.in,011-26387401
Bansal Hospital,Saket,South Delhi,28.5247,77.2079,https://bansalhospital.com,011-40509000
Vardhman Mahavir Medical College and Safdarjung Hospital,Safdarjung Enclave,South Delhi,28.5664,77.1901,https://vmmc-sjh.nic.in,011-26730000
Sant Parmanand Hospital,Civil Lines,North Delhi,28.6814,77.2312,https://parmanandhospital.com,011-23994401
Jeevan Nursing Home,Pitampura,North West Delhi,28.7035,77.1304,https://jeevannursinghome.com,011-27344139
VIMHANS Hospital,Nehru Nagar,South Delhi,28.5723,77.2513,https://vimhans.com,011-29849052
Action Cancer Hospital,Paschim Vihar,West Delhi,28.6753,77.0735,https://actioncancerhospital.com,011-49222222
Jeewan Mala Hospital,Rohtak Road,West Delhi,28.663,77.1416,https://jeewanmalahospital.com,011-41505050
Bansal Hospital,Rohini,North West Delhi,28.7143,77.1232,https://bansalhospital.com,011-27055785
Sunder Lal Jain Hospital,Ashok Vihar,North Delhi,28.6964,77.1792,https://sljainhospital.com,011-27229128
Bhagwan Mahavir Hospital,Pitampura,North West Delhi,28.6981,77.1242,https://bmhospital.org,011-27342645
Panchsheel Hospital,Yamuna Vihar,East Delhi,28.6818,77.3073,https://panchsheelhospital.com,011-22893947
Bhagat Chandra Hospital,Dwarka,South West Delhi,28.5877,77.0541,https://bhagatchandrahospital.com,011-25066422
Saroj Super Speciality Hospital,Rohini,North Delhi,28.7053,77.1163,https://sarojhospital.com,011-27903333
Deep Chand Bandhu Hospital,Ashok Vihar,North Delhi,28.6998,77.1723,https://dcbhospital.com,011-27240205
Park Hospital,Meera Bagh,West Delhi,28.6573,77.0915,https://parkhospital.in,011-28332424
Brahm Shakti Hospital and Research Centre,Budh Vihar,North West Delhi,28.723,77.0547,https://brahmshaktihospital.com,011-27532222
Venkateshwar Multi-Super Speciality Hospital,Dwarka,South West Delhi,28.5765,77.0467,https://venkateshwarhospitals.com,011-48555555
Sanjay Gandhi Memorial Hospital,Mangolpuri,North West Delhi,28.6943,77.0695,https://sgmhospital.com,011-27921701
Bhagwati Hospital,Rohini,North West Delhi,28.7162,77.108,https://bhagwatihospital.com,011-27554418
Goyal Hospital and Urology Centre,Rohini,North West Delhi,28.7073,77.1258,https://goyalhospital.com,011-27048485
North Delhi Nursing Home,Model Town,North Delhi,28.7021,77.1906,https://northdelhinursinghome.com,011-27452251
Sunder Lal Jain Charitable Hospital,Ashok Vihar,North Delhi,28.6963,77.179,https://sljainhospital.com,011-27245555
Jaipur Golden Hospital,Rohini,North West Delhi,28.7202,77.1045,https://jaipurgoldenhospital.com,011-27907000
Sant Parmanand Hospital,Civil Lines,North Delhi,28.6814,77.2312,https://parmanandhospital.com,011-23994401
Delhi Heart and Lung Institute,Panchkuian Road,Central Delhi,28.6407,77.205,https://dhli.in,011-42999999
St. Stephen's Hospital,Tis Hazari,Central Delhi,28.6745,77.2165,https://ststephenshospital.org,011-23966021
Max Hospital,Patparganj,East Delhi,28.6163,77.2892,https://maxhealthcare.in,011-43033333
Maharaja Agrasen Hospital,Punjabi Bagh,West Delhi,28.6656,77.1344,https://mahdelhi.org,011-48882000
Aashlok Hospital,Safdarjung Enclave,South Delhi,28.5664,77.1901,https://aashlok.com,011-40666666
ESIC Hospital,Okhla,South Delhi,28.5578,77.2695,https://esic.nic.in,011-26387401
Bansal Hospital,Saket,South Delhi,28.5247,77.2079,https://bansalhospital.com,011-40509000
Vardhman Mahavir Medical College and Safdarjung Hospital,Safdarjung Enclave,South Delhi,28.5664,77.1901,https://vmmc-sjh.nic.in,011-26730000
Sant Parmanand Hospital,Civil Lines,North Delhi,28.6814,77.2312,https://parmanandhospital.com,011-23994401
Jeevan Nursing Home,Pitampura,North West Delhi,28.7035,77.1304,https://jeevannursinghome.com,011-27344139
VIMHANS Hospital,Nehru Nagar,South Delhi,28.5723,77.2513,https://vimhans.com,011-29849052
Action Cancer Hospital,Paschim Vihar,West Delhi,28.6753,77.0735,https://actioncancerhospital.com,011-49222222
Jeewan Mala Hospital,Rohtak Road,West Delhi,28.663,77.1416,https://jeewanmalahospital.com,011-41505050
Bansal Hospital,Rohini,North West Delhi,28.7143,77.1232,https://bansalhospital.com,011-27055785
Sunder Lal Jain Hospital,Ashok Vihar,North Delhi,28.6964,77.1792,https://sljainhospital.com,011-27229128
Bhagwan Mahavir Hospital,Pitampura,North West Delhi,28.6981,77.1242,https://bmhospital.org,011-27342645
Panchsheel Hospital,Yamuna Vihar,East Delhi,28.6818,77.3073,https://panchsheelhospital.com,011-22893947
Bhagat Chandra Hospital,Dwarka,South West Delhi,28.5877,77.0541,https://bhagatchandrahospital.com,011-25066422
Saroj Super Speciality Hospital,Rohini,North Delhi,28.7053,77.1163,https://sarojhospital.com,011-27903333
Deep Chand Bandhu Hospital,Ashok Vihar,North Delhi,28.6998,77.1723,https://dcbhospital.com,011-27240205
Park Hospital,Meera Bagh,West Delhi,28.6573,77.0915,https://parkhospital.in,011-28332424
Brahm Shakti Hospital and Research Centre,Budh Vihar,North West Delhi,28.723,77.0547,https://brahmshaktihospital.com,011-27532222
Venkateshwar Multi-Super Speciality Hospital,Dwarka,South West Delhi,28.5765,77.0467,https://venkateshwarhospitals.com,011-48555555
Sanjay Gandhi Memorial Hospital,Mangolpuri,North West Delhi,28.6943,77.0695,https://sgmhospital.com,011-27921701
Bhagwati Hospital,Rohini,North West Delhi,28.7162,77.108,https://bhagwatihospital.com,011-27554418
Goyal Hospital and Urology Centre,Rohini,North West Delhi,28.7073,77.1258,https://goyalhospital.com,011-27048485
North Delhi Nursing Home,Model Town,North Delhi,28.7021,77.1906,https://northdelhinursinghome.com,011-27452251
Sunder Lal Jain Charitable Hospital,Ashok Vihar,North Delhi,28.6963,77.179,https://sljainhospital.com,011-27245555
Jaipur Golden Hospital,Rohini,North West Delhi,28.7202,77.1045,https://jaipurgoldenhospital.com,011-27907000
